ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92079,4,2024,A,Y,0,0,0
92079,4,2024,C,Y,0,0,0
92079,4,2024,I,Y,0,0,0
92079,4,2024,R,Y,0,0,0
92081,4,2024,A,Y,0,0,0
92081,4,2024,C,Y,1308,8840795,6759
92081,4,2024,I,Y,0,0,0
92081,4,2024,R,Y,10711,1558199,145
92082,4,2024,A,Y,0,0,0
92082,4,2024,C,Y,0,0,0
92082,4,2024,I,Y,0,0,0
92082,4,2024,R,Y,1881,339406,180
92083,4,2024,A,Y,0,0,0
92083,4,2024,C,N,849,2393424,2819
92083,4,2024,I,Y,0,0,0
92083,4,2024,R,N,10694,1142672,107
92084,4,2024,A,Y,0,0,0
92084,4,2024,C,Y,803,2599739,3238
92084,4,2024,I,Y,0,0,0
92084,4,2024,R,Y,11731,1810536,154
92085,4,2024,A,Y,0,0,0
92085,4,2024,C,Y,0,0,0
92085,4,2024,I,Y,0,0,0
92085,4,2024,R,Y,0,0,0
92086,4,2024,A,Y,0,0,0
92086,4,2024,C,Y,0,0,0
92086,4,2024,I,Y,0,0,0
92086,4,2024,R,Y,119,34018,286
92091,4,2024,A,Y,0,0,0
92091,4,2024,C,Y,0,0,0
92091,4,2024,I,Y,0,0,0
92091,4,2024,R,N,161,55721,346
92092,4,2024,A,Y,0,0,0
92092,4,2024,C,Y,0,0,0
92092,4,2024,I,Y,0,0,0
92092,4,2024,R,Y,0,0,0
92093,4,2024,A,Y,0,0,0
92093,4,2024,C,Y,0,0,0
92093,4,2024,I,Y,0,0,0
92093,4,2024,R,Y,0,0,0
92096,4,2024,A,Y,0,0,0
92096,4,2024,C,Y,0,0,0
92096,4,2024,I,Y,0,0,0
92096,4,2024,R,Y,0,0,0
92101,4,2024,A,Y,0,0,0
92101,4,2024,C,Y,0,0,0
92101,4,2024,I,Y,0,0,0
92101,4,2024,R,Y,14542,4356916,300
92102,4,2024,A,Y,0,0,0
92102,4,2024,C,Y,0,0,0
92102,4,2024,I,Y,0,0,0
92102,4,2024,R,N,4173,830312,199
92103,4,2024,A,Y,0,0,0
92103,4,2024,C,Y,0,0,0
92103,4,2024,I,Y,0,0,0
92103,4,2024,R,Y,6841,1376591,201
92104,4,2024,A,Y,0,0,0
92104,4,2024,C,Y,0,0,0
92104,4,2024,I,Y,0,0,0
92104,4,2024,R,N,7888,1266106,161
92105,4,2024,A,Y,0,0,0
92105,4,2024,C,Y,0,0,0
92105,4,2024,I,Y,0,0,0
92105,4,2024,R,N,5286,1018364,193
92106,4,2024,A,Y,0,0,0
92106,4,2024,C,Y,0,0,0
92106,4,2024,I,Y,0,0,0
92106,4,2024,R,Y,1898,409756,216
92107,4,2024,A,Y,0,0,0
92107,4,2024,C,N,141,531059,3766
92107,4,2024,I,Y,0,0,0
92107,4,2024,R,N,4072,718196,176
92108,4,2024,A,Y,0,0,0
92108,4,2024,C,N,435,9560272,21978
92108,4,2024,I,Y,0,0,0
92108,4,2024,R,N,7678,2017131,263
92109,4,2024,A,Y,0,0,0
92109,4,2024,C,Y,0,0,0
92109,4,2024,I,Y,0,0,0
92109,4,2024,R,N,8585,1578253,184
92110,4,2024,A,Y,0,0,0
92110,4,2024,C,Y,0,0,0
92110,4,2024,I,Y,0,0,0
92110,4,2024,R,N,3960,926430,234
92111,4,2024,A,Y,0,0,0
92111,4,2024,C,Y,596,4626202,7762
92111,4,2024,I,Y,0,0,0
92111,4,2024,R,Y,3902,749561,192
92112,4,2024,A,Y,0,0,0
92112,4,2024,C,Y,0,0,0
92112,4,2024,I,Y,0,0,0
92112,4,2024,R,Y,0,0,0
92113,4,2024,A,Y,0,0,0
92113,4,2024,C,Y,0,0,0
92113,4,2024,I,Y,0,0,0
92113,4,2024,R,N,3006,548741,183
92114,4,2024,A,Y,0,0,0
92114,4,2024,C,Y,0,0,0
92114,4,2024,I,Y,0,0,0
92114,4,2024,R,N,3000,622365,207
92115,4,2024,A,Y,0,0,0
92115,4,2024,C,Y,531,4422961,8329
92115,4,2024,I,Y,0,0,0
92115,4,2024,R,Y,7045,727431,103
92116,4,2024,A,Y,0,0,0
92116,4,2024,C,Y,0,0,0
92116,4,2024,I,Y,0,0,0
92116,4,2024,R,N,5560,858911,154
92117,4,2024,A,Y,0,0,0
92117,4,2024,C,Y,0,0,0
92117,4,2024,I,Y,0,0,0
92117,4,2024,R,N,4971,819084,165
92118,4,2024,A,Y,0,0,0
92118,4,2024,C,Y,0,0,0
92118,4,2024,I,Y,0,0,0
92118,4,2024,R,Y,7916,3227649,408
92119,4,2024,A,Y,0,0,0
92119,4,2024,C,Y,0,0,0
92119,4,2024,I,Y,0,0,0
92119,4,2024,R,N,2181,400437,184
92120,4,2024,A,Y,0,0,0
92120,4,2024,C,Y,0,0,0
92120,4,2024,I,Y,0,0,0
92120,4,2024,R,N,3851,923015,240
92121,4,2024,A,Y,0,0,0
92121,4,2024,C,Y,0,0,0
92121,4,2024,I,Y,0,0,0
92121,4,2024,R,Y,675,485034,719
92122,4,2024,A,Y,0,0,0
92122,4,2024,C,Y,0,0,0
92122,4,2024,I,Y,0,0,0
92122,4,2024,R,N,9527,2336433,245
92123,4,2024,A,Y,0,0,0
92123,4,2024,C,Y,460,16299291,35433
92123,4,2024,I,Y,0,0,0
92123,4,2024,R,Y,4492,1589756,354
92124,4,2024,A,Y,0,0,0
92124,4,2024,C,Y,0,0,0
92124,4,2024,I,Y,0,0,0
92124,4,2024,R,N,2820,618514,219
92126,4,2024,A,Y,0,0,0
92126,4,2024,C,Y,598,3459155,5785
92126,4,2024,I,Y,0,0,0
92126,4,2024,R,Y,7653,1423594,186
92127,4,2024,A,Y,0,0,0
92127,4,2024,C,Y,0,0,0
92127,4,2024,I,Y,0,0,0
92127,4,2024,R,N,3365,1265009,376
92128,4,2024,A,Y,0,0,0
92128,4,2024,C,Y,0,0,0
92128,4,2024,I,Y,0,0,0
92128,4,2024,R,Y,5286,1342666,254
92129,4,2024,A,Y,0,0,0
92129,4,2024,C,Y,0,0,0
92129,4,2024,I,Y,0,0,0
92129,4,2024,R,N,4146,824985,199
92130,4,2024,A,Y,0,0,0
92130,4,2024,C,Y,0,0,0
92130,4,2024,I,Y,0,0,0
92130,4,2024,R,N,5959,1320289,222
92131,4,2024,A,Y,0,0,0
92131,4,2024,C,Y,0,0,0
92131,4,2024,I,Y,0,0,0
92131,4,2024,R,Y,3091,520162,168
